match_id,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners
70,57.6,42.4,19.0,3.0,4.0,1.0,6.0,16.0,2.0,4.0
71,65.0,35.0,12.0,10.0,5.0,3.0,3.0,7.0,0.0,3.0
72,26.7,73.3,5.0,12.0,1.0,4.0,13.0,7.0,2.0,6.0
73,58.4,41.6,6.0,12.0,1.0,7.0,10.0,16.0,1.0,4.0
74,68.6,31.4,19.0,5.0,7.0,2.0,4.0,13.0,6.0,2.0
75,75.6,24.4,21.0,7.0,6.0,3.0,18.0,12.0,16.0,6.0
76,29.9,70.1,6.0,11.0,2.0,5.0,18.0,15.0,5.0,8.0
77,47.0,53.0,14.0,9.0,5.0,4.0,6.0,7.0,14.0,3.0
78,61.0,39.0,25.0,8.0,12.0,3.0,14.0,10.0,9.0,1.0
79,42.8,57.2,15.0,7.0,3.0,1.0,10.0,14.0,3.0,8.0
80,59.7,40.3,16.0,7.0,7.0,2.0,10.0,12.0,5.0,3.0
81,52.3,47.7,19.0,19.0,5.0,5.0,22.0,12.0,4.0,2.0
82,48.4,51.6,8.0,10.0,2.0,3.0,7.0,13.0,4.0,3.0
83,64.4,35.6,23.0,5.0,10.0,0.0,8.0,15.0,9.0,0.0
84,60.4,39.6,15.0,13.0,3.0,6.0,6.0,12.0,9.0,5.0
85,44.5,55.5,11.0,8.0,5.0,2.0,10.0,12.0,4.0,2.0
86,41.7,58.3,16.0,14.0,1.0,3.0,12.0,14.0,4.0,7.0
87,63.6,36.4,22.0,16.0,10.0,5.0,13.0,12.0,8.0,8.0
88,60.7,39.3,20.0,8.0,8.0,0.0,14.0,10.0,3.0,2.0
89,44.7,55.3,10.0,5.0,3.0,4.0,24.0,14.0,11.0,1.0
90,24.1,75.9,5.0,15.0,1.0,5.0,13.0,11.0,2.0,12.0
91,33.6,66.4,14.0,9.0,4.0,5.0,7.0,6.0,5.0,5.0
92,66.9,33.1,20.0,6.0,5.0,5.0,14.0,7.0,12.0,2.0
93,44.6,55.4,10.0,15.0,2.0,6.0,9.0,13.0,3.0,7.0
94,55.9,44.1,7.0,15.0,2.0,7.0,11.0,9.0,3.0,5.0
95,63.6,36.4,19.0,5.0,7.0,2.0,13.0,11.0,6.0,1.0
96,53.4,46.6,7.0,15.0,2.0,3.0,22.0,21.0,3.0,7.0
97,48.0,52.0,22.0,5.0,8.0,1.0,10.0,13.0,5.0,5.0
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
